Numarul de carti este: 90
Numarul de pagini generat pentru fiecare carte: 
Cartea 1 are 9826 pagini;
Cartea 2 are 1487 pagini;
Cartea 3 are 3197 pagini;
Cartea 4 are 9938 pagini;
Cartea 5 are 2312 pagini;
Cartea 6 are 8980 pagini;
Cartea 7 are 5845 pagini;
Cartea 8 are 2915 pagini;
Cartea 9 are 900 pagini;
Cartea 10 are 4257 pagini;
Cartea 11 are 5194 pagini;
Cartea 12 are 9233 pagini;
Cartea 13 are 6552 pagini;
Cartea 14 are 9777 pagini;
Cartea 15 are 9402 pagini;
Cartea 16 are 1693 pagini;
Cartea 17 are 8796 pagini;
Cartea 18 are 6935 pagini;
Cartea 19 are 8751 pagini;
Cartea 20 are 4939 pagini;
Cartea 21 are 7464 pagini;
Cartea 22 are 2239 pagini;
Cartea 23 are 8081 pagini;
Cartea 24 are 4164 pagini;
Cartea 25 are 4226 pagini;
Cartea 26 are 9959 pagini;
Cartea 27 are 9915 pagini;
Cartea 28 are 5145 pagini;
Cartea 29 are 7477 pagini;
Cartea 30 are 94 pagini;
Cartea 31 are 1067 pagini;
Cartea 32 are 8281 pagini;
Cartea 33 are 8339 pagini;
Cartea 34 are 3163 pagini;
Cartea 35 are 7021 pagini;
Cartea 36 are 1940 pagini;
Cartea 37 are 4715 pagini;
Cartea 38 are 9601 pagini;
Cartea 39 are 3194 pagini;
Cartea 40 are 1456 pagini;
Cartea 41 are 3310 pagini;
Cartea 42 are 8018 pagini;
Cartea 43 are 5053 pagini;
Cartea 44 are 3724 pagini;
Cartea 45 are 9487 pagini;
Cartea 46 are 7346 pagini;
Cartea 47 are 9430 pagini;
Cartea 48 are 1412 pagini;
Cartea 49 are 1946 pagini;
Cartea 50 are 2045 pagini;
Cartea 51 are 8099 pagini;
Cartea 52 are 132 pagini;
Cartea 53 are 3783 pagini;
Cartea 54 are 6187 pagini;
Cartea 55 are 1308 pagini;
Cartea 56 are 4736 pagini;
Cartea 57 are 3694 pagini;
Cartea 58 are 1394 pagini;
Cartea 59 are 8061 pagini;
Cartea 60 are 1460 pagini;
Cartea 61 are 8716 pagini;
Cartea 62 are 2941 pagini;
Cartea 63 are 1289 pagini;
Cartea 64 are 2087 pagini;
Cartea 65 are 6903 pagini;
Cartea 66 are 5149 pagini;
Cartea 67 are 6381 pagini;
Cartea 68 are 709 pagini;
Cartea 69 are 2223 pagini;
Cartea 70 are 2525 pagini;
Cartea 71 are 7395 pagini;
Cartea 72 are 8782 pagini;
Cartea 73 are 5798 pagini;
Cartea 74 are 5018 pagini;
Cartea 75 are 2633 pagini;
Cartea 76 are 585 pagini;
Cartea 77 are 225 pagini;
Cartea 78 are 9362 pagini;
Cartea 79 are 8529 pagini;
Cartea 80 are 9885 pagini;
Cartea 81 are 927 pagini;
Cartea 82 are 1676 pagini;
Cartea 83 are 7210 pagini;
Cartea 84 are 7121 pagini;
Cartea 85 are 1449 pagini;
Cartea 86 are 3113 pagini;
Cartea 87 are 8991 pagini;
Cartea 88 are 8993 pagini;
Cartea 89 are 4331 pagini;
Cartea 90 are 8809 pagini;

Distribuirea cartilor in sectiuni:
Sectiunea 1: 9826 1487 3197 9938 2312 8980 5845 2915 900 4257 5194 9233 6552 9777 9402 1693 8796 6935 8751 4939 7464 2239 8081 4164 4226 9959 
Sectiunea 2: 9915 5145 7477 94 1067 8281 8339 3163 7021 1940 4715 9601 3194 1456 3310 8018 5053 3724 9487 7346 9430 1412 1946 2045 8099 132 3783 6187 1308 4736 3694 1394 
Sectiunea 3: 8061 1460 8716 2941 1289 2087 6903 5149 6381 709 2223 2525 7395 8782 5798 5018 2633 585 225 9362 8529 9885 927 1676 7210 7121 1449 3113 8991 8993 4331 8809 
