Numarul de carti este: 75
Numarul de pagini generat pentru fiecare carte: 
Cartea 1 are 427 pagini;
Cartea 2 are 3114 pagini;
Cartea 3 are 636 pagini;
Cartea 4 are 3908 pagini;
Cartea 5 are 9650 pagini;
Cartea 6 are 602 pagini;
Cartea 7 are 8712 pagini;
Cartea 8 are 8585 pagini;
Cartea 9 are 1609 pagini;
Cartea 10 are 9893 pagini;
Cartea 11 are 747 pagini;
Cartea 12 are 4569 pagini;
Cartea 13 are 6873 pagini;
Cartea 14 are 6877 pagini;
Cartea 15 are 6760 pagini;
Cartea 16 are 3406 pagini;
Cartea 17 are 5339 pagini;
Cartea 18 are 2072 pagini;
Cartea 19 are 7924 pagini;
Cartea 20 are 8103 pagini;
Cartea 21 are 765 pagini;
Cartea 22 are 9916 pagini;
Cartea 23 are 8298 pagini;
Cartea 24 are 6898 pagini;
Cartea 25 are 4197 pagini;
Cartea 26 are 3159 pagini;
Cartea 27 are 8527 pagini;
Cartea 28 are 2015 pagini;
Cartea 29 are 1174 pagini;
Cartea 30 are 2626 pagini;
Cartea 31 are 6185 pagini;
Cartea 32 are 8049 pagini;
Cartea 33 are 2977 pagini;
Cartea 34 are 6886 pagini;
Cartea 35 are 2556 pagini;
Cartea 36 are 7624 pagini;
Cartea 37 are 2525 pagini;
Cartea 38 are 3808 pagini;
Cartea 39 are 3765 pagini;
Cartea 40 are 1262 pagini;
Cartea 41 are 4554 pagini;
Cartea 42 are 673 pagini;
Cartea 43 are 8362 pagini;
Cartea 44 are 191 pagini;
Cartea 45 are 3442 pagini;
Cartea 46 are 7161 pagini;
Cartea 47 are 1409 pagini;
Cartea 48 are 1180 pagini;
Cartea 49 are 4945 pagini;
Cartea 50 are 3397 pagini;
Cartea 51 are 8257 pagini;
Cartea 52 are 3985 pagini;
Cartea 53 are 8758 pagini;
Cartea 54 are 9526 pagini;
Cartea 55 are 7159 pagini;
Cartea 56 are 8006 pagini;
Cartea 57 are 8443 pagini;
Cartea 58 are 4725 pagini;
Cartea 59 are 4185 pagini;
Cartea 60 are 7843 pagini;
Cartea 61 are 7954 pagini;
Cartea 62 are 4692 pagini;
Cartea 63 are 1456 pagini;
Cartea 64 are 7127 pagini;
Cartea 65 are 8096 pagini;
Cartea 66 are 630 pagini;
Cartea 67 are 9825 pagini;
Cartea 68 are 3963 pagini;
Cartea 69 are 3663 pagini;
Cartea 70 are 4913 pagini;
Cartea 71 are 5980 pagini;
Cartea 72 are 1554 pagini;
Cartea 73 are 3502 pagini;
Cartea 74 are 4755 pagini;
Cartea 75 are 7850 pagini;

Distribuirea cartilor in sectiuni:
Sectiunea 1: 427 3114 636 3908 9650 602 8712 8585 1609 9893 747 4569 6873 6877 6760 3406 5339 2072 7924 8103 765 9916 8298 6898 
Sectiunea 2: 4197 3159 8527 2015 1174 2626 6185 8049 2977 6886 2556 7624 2525 3808 3765 1262 4554 673 8362 191 3442 7161 1409 1180 4945 3397 8257 3985 8758 
Sectiunea 3: 9526 7159 8006 8443 4725 4185 7843 7954 4692 1456 7127 8096 630 9825 3963 3663 4913 5980 1554 3502 4755 7850 
